Title,Year,Director,Origin/Ethnicity,Cast,Genre,Color,Duration,Actor_2,Gross,Genres,Actor_1,Actor_3,Plot_keywords,Language,Country,Budget,Aspect_ratio
G.I. Jane,1997,Ridley Scott,American,"Demi Moore, Viggo Mortensen, Anne Bancroft",action,Color,125.0,Demi Moore,48154732.0,Action|Drama|War,Viggo Mortensen,John Michael Higgins,feminism|hit in the crotch|kicked in the crotch|kicked in the testicles|navy,English,USA,50000000.0,2.35
The Game,1997,David Fincher,American,"Michael Douglas, Sean Penn, James Rebhorn, Deborah Kara Unger, Carroll Baker",psychological thriller,Color,129.0,Armin Mueller-Stahl,48265581.0,Drama|Mystery|Thriller,Deborah Kara Unger,Charles Martinet,birthday|falling through a glass roof|game|hitchcockian|suicide,English,USA,50000000.0,2.35
Gattaca,1997,Andrew Niccol,American,"Ethan Hawke, Uma Thurman, Jude Law",science fiction,Color,106.0,Xander Berkeley,12339633.0,Drama|Sci-Fi|Thriller,Blair Underwood,Mason Gamble,accident|future|genetics|mission|police,English,USA,36000000.0,2.35
George of the Jungle,1997,Sam Weisman,American,"Brendan Fraser, Leslie Mann, Thomas Haden Church",comedy,Color,92.0,Abraham Benrubi,105263257.0,Action|Adventure|Comedy|Family|Romance,Brendan Fraser,Holland Taylor,animal companion|heiress|hero|jungle|male objectification,English,USA,55000000.0,1.85
Good Will Hunting,1997,Gus Van Sant,American,"Matt Damon, Robin Williams, Ben Affleck, Minnie Driver, Stellan Skarsgård",drama,Color,126.0,Matt Damon,138339411.0,Drama,Robin Williams,Minnie Driver,friend|genius|janitor|loss of wife|professor,English,USA,10000000.0,1.85
Grosse Pointe Blank,1997,George Armitage,American,"John Cusack, Minnie Driver, Dan Aykroyd, Alan Arkin",comedy,Color,107.0,Michael Cudlitz,28014536.0,Action|Comedy|Crime|Romance|Thriller,Minnie Driver,Mitchell Ryan,assassin|high school|high school reunion|reunion|suburb,English,USA,15000000.0,1.85
Hurricane Streets,1997,Morgan J. Freeman,American,Heather Matarazzo,drama, Black and White,86.0,Heather Matarazzo,334041.0,Crime|Drama|Romance,Edie Falco,Lynn Cohen,gang|new mexico|prison|smuggling|theft,English,USA,500000.0,1.85
I Know What You Did Last Summer,1997,Jim Gillespie,American,"Jennifer Love Hewitt, Sarah Michelle Gellar, Ryan Phillippe, Freddie Prinze, Jr., Johnny Galecki, Bridgette Wilson, Anne Heche",horror,Color,99.0,Sarah Michelle Gellar,72219395.0,Horror|Mystery|Thriller,Muse Watson,Anne Heche,beach|corpse|fourth of july|overalls|revenge,English,USA,17000000.0,2.35
The Ice Storm,1997,Ang Lee,American,"Kevin Kline, Joan Allen, Sigourney Weaver, Tobey Maguire, Christina Ricci, Elijah Wood",drama,Color,112.0,Kate Burton,7837632.0,Drama,Joan Allen,Henry Czerny,ice|ice storm|storm|thanksgiving|virgin,English,USA,18000000.0,1.85
In & Out,1997,Frank Oz,American,"Kevin Kline, Joan Cusack, Tom Selleck, Matt Dillon, Bob Newhart, Debbie Reynolds, Wilford Brimley",comedy,Color,90.0,Wilford Brimley,63826569.0,Comedy,Tom Selleck,Lauren Ambrose,academy award|gay|high school|reporter|teacher,English,USA,35000000.0,1.85
In the Company of Men,1997,Neil LaBute,American,"Aaron Eckhart, Matt Molloy",comedy,Color,97.0,Matt Malloy,2856622.0,Comedy|Drama,Stacy Edwards,Jason Dixie,business trip|love|misogynist|office|secretary,English,Canada,25000.0,1.85
The Jackal,1997,Michael Caton-Jones,American,"Bruce Willis, Richard Gere, Sidney Poitier, Diane Venora",thriller,Color,124.0,Bruce Willis,54910560.0,Action|Adventure|Crime|Thriller,J.K. Simmons,Sophie Okonedo,assassin|fbi|ira|jackal|russian,English,USA,60000000.0,2.35
Jackie Brown,1997,Quentin Tarantino,American,"Pam Grier, Samuel L. Jackson, Robert Forster, Robert De Niro, Michael Keaton, Bridget Fonda, Chris Tucker",crime drama,Color,154.0,Sid Haig,39647595.0,Crime|Thriller,Robert De Niro,Robert Forster,arms dealer|atf|bail|money|multiple perspectives,English,USA,12000000.0,1.85
Kiss the Girls,1997,Gary Fleder,American,"Morgan Freeman, Ashley Judd","crime, thriller",Color,115.0,Tony Goldwyn,60491560.0,Crime|Drama|Mystery|Thriller,Morgan Freeman,Tatyana Ali,detective|kidnapping|punching a heavy bag|serial killer|tied to a tree,English,USA,27000000.0,2.35
L.A. Confidential,1997,Curtis Hanson,American,"Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger, Danny DeVito, James Cromwell, David Strathairn, Simon Baker",crime drama,Color,138.0,Matt McCoy,64604977.0,Crime|Drama|Mystery|Thriller,Kevin Spacey,Paul Guilfoyle,1950s|call girl|corruption|murder|police detective,English,USA,35000000.0,2.35
Liar Liar,1997,Tom Shadyac,American,"Jim Carrey, Justin Cooper, Maura Tierney, Cary Elwes, Jennifer Tilly, Amanda Donohoe",comedy,Color,86.0,Swoosie Kurtz,181395380.0,Comedy|Fantasy|Romance,Maura Tierney,Randall 'Tex' Cobb,birthday|birthday wish|father disappoints child|lie|workaholic,English,USA,45000000.0,1.85
The Lost World: Jurassic Park,1997,Steven Spielberg,American,"Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Arliss Howard, Richard Attenborough",science fiction,Color,129.0,Richard Schiff,229074524.0,Action|Adventure|Sci-Fi,Ariana Richards,Vanessa Lee Chester,capture|dinosaur|island|jurassic|jurassic park,English,USA,73000000.0,1.85
Mad City,1997,Costa-Gavras,American,"Dustin Hoffman, John Travolta, Mia Kirshner, Alan Alda",crime drama,Color,115.0,Blythe Danner,10556196.0,Crime|Drama|Thriller,Mia Kirshner,William Atherton,hostage|museum|natural history museum|news reporter|reporter,English,USA,50000000.0,2.35
The Man Who Knew Too Little,1997,Jon Amiel,American,"Bill Murray, Joanne Whalley, Peter Gallagher",comedy,Color,94.0,Peter Gallagher,13801755.0,Action|Comedy|Crime|Thriller,Bill Murray,Joanne Whalley,assassin|bomb|dominatrix|mistaken identity|spy,English,USA,20000000.0,1.85
Men in Black,1997,Barry Sonnenfeld,American,"Will Smith, Tommy Lee Jones, Vincent D'Onofrio, Linda Fiorentino, Rip Torn, Tony Shalhoub",science fiction,Color,98.0,Rip Torn,250147615.0,Adventure|Comedy|Family|Mystery|Sci-Fi,Will Smith,Linda Fiorentino,alien|box office hit|flying saucer|laser gun|wisecrack humor,English,USA,90000000.0,1.85
Money Talks,1997,Brett Ratner,American,"Chris Tucker, Charlie Sheen, Heather Locklear",comedy,Color,97.0,Paul Sorvino,41067398.0,Action|Comedy|Crime|Thriller,Heather Locklear,Faizon Love,blood splatter|fistfight|murder|police|prison bus,English,USA,25000000.0,2.35
Mortal Kombat: Annihilation,1997,John R. Leonetti,American,"Robin Shou, Talisa Soto, Sandra Hess, James Remar",action,Color,95.0,Talisa Soto,35927406.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Brian Thompson,Robin Shou,alternate reality|battle|martial arts|mortal kombat|warrior,English,USA,30000000.0,1.85
Nothing to Lose,1997,Steve Oedekerk,American,"Martin Lawrence, Tim Robbins, Kelly Preston",comedy,Color,98.0,Michael McKean,44455658.0,Action|Adventure|Comedy|Crime,Kelly Preston,Rebecca Gayheart,boss|ghetto|money|robber|robbery,English,USA,25000000.0,1.85
Orgazmo,1997,Trey Parker,American,"Trey Parker, Dian Bachar, Robyn Lynne Raab, Michael Dean Jacobs, Matt Stone",comedy,Color,92.0,Dian Bachar,582024.0,Comedy|Sci-Fi,Trey Parker,Matt Stone,book of mormon|fight|mormon|ray gun|sidekick,English,USA,1000000.0,1.85
Oscar and Lucinda,1997,Gillian Armstrong,American,"Ralph Fiennes, Cate Blanchett, Tom Wilkinson",drama,Color,132.0,Richard Roxburgh,1508689.0,Drama|Romance,Tom Wilkinson,Clive Russell,australia|church|glass|inheritance|wager,English,USA,16000000.0,2.35
The Peacemaker,1997,Mimi Leder,American,"George Clooney, Nicole Kidman",action,Color,124.0,Holt McCallany,41256277.0,Action|Thriller,Armin Mueller-Stahl,Marcel Iures,nuclear explosion|nuclear weapon|russia|train|train crash,English,USA,50000000.0,2.35
The Postman,1997,Kevin Costner,American,"Kevin Costner, Olivia Williams, Larenz Tate, Will Patton",science fiction,Color,177.0,Brian Anthony Wilson,17593391.0,Action|Adventure|Drama|Sci-Fi,Olivia Williams,Larenz Tate,drifter|escape|hope|postman|usa,English,USA,80000000.0,2.35
Prefontaine,1997,Steve James,American,"Jared Leto, R. Lee Ermey, Ed O'Neill","biography, drama",Color,106.0,Laurel Holloman,532190.0,Biography|Drama|Romance|Sport,Kurtwood Smith,Amy Locane,long distance runner|olympics|oregon|runner|watching television,English,USA,8000000.0,1.66
The Rainmaker,1997,Francis Ford Coppola,American,"Matt Damon, Claire Danes, Danny DeVito, Jon Voight, Mary Kay Place, Mickey Rourke, Danny Glover, Virginia Madsen, Roy Scheider",drama,Color,135.0,Dean Stockwell,45856732.0,Crime|Drama|Thriller,Matt Damon,Virginia Madsen,courtroom|domestic violence|insurance company|lawyer|underdog,English,USA,40000000.0,2.35
The Relic,1997,Peter Hyams,American,"Penelope Ann Miller, Tom Sizemore, Linda Hunt, James Whitmore",horror,Color,110.0,Penelope Ann Miller,33927476.0,Horror|Mystery|Sci-Fi|Thriller,John Kapelos,Chi Muoi Lo,fire|helicopter|museum|police sergeant|relic,English,UK,40000000.0,2.35
